Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
CNF -> GRU,2024,6,2024-06-01,81,E2,4,144342,1782.0,303.81111111111113,3272.5925925925926,52431.49382716049,68103,4246951,5.867274105753747,1994.7128461464372
CNF -> GRU,2024,7,2024-07-01,62,E2,4,114438,1845.774193548387,302.03548387096777,3248.7096774193546,51968.5,68388,3222047,6.1015575680855525,2057.5142296713584
CNF -> GRU,2024,8,2024-08-01,88,E2,4,161659,1837.034090909091,317.58409090909095,3351.1363636363635,55735.85227272727,69013,4904755,5.8228407114033445,1993.2864242551861
CNF -> GRU,2024,9,2024-09-01,68,A320,3,127761,1878.8382352941176,306.1411764705882,3239.1176470588234,55710.05882352941,68433,3788284,6.128714434484884,2091.2478409404443
CNF -> GRU,2024,10,2024-10-01,99,A320,4,200531,2025.5656565656566,315.42727272727274,3350.909090909091,58916.656565656565,69651,5832749,6.4465591154395945,2196.6097311539943
CNF -> GRU,2024,11,2024-11-01,92,A320,4,187974,2043.195652173913,306.6760869565218,3267.391304347826,57595.0,69560,5298740,6.668524714412455,2272.0202199680134
CNF -> GRU,2024,12,2024-12-01,73,E1,4,147655,2022.6712328767123,309.658904109589,3341.095890410959,52119.767123287675,68986,3804743,6.532207294148847,2206.3692132746687
CNF -> GRU,2025,1,2025-01-01,75,E1,4,152593,2034.5733333333333,303.86133333333333,3211.2,51755.37333333334,68888,3881653,6.695273441409437,2298.340791578203
CNF -> GRU,2025,2,2025-02-01,70,A320,3,141003,2014.3285714285714,313.01428571428573,3210.8571428571427,56093.21428571428,69422,3926525,6.439436217140557,2266.7411645670722
CNF -> GRU,2025,3,2025-03-01,57,E2,3,106780,1873.3333333333333,309.1385964912281,3276.842105263158,52529.42105263158,67767,2994177,6.054356051531088,2061.327713906178
CNF -> GRU,2025,4,2025-04-01,58,E2,3,105956,1826.8275862068965,306.4568965517241,3312.4137931034484,50603.46551724138,65065,2935001,5.95910466686156,1986.7573430270127
CNF -> GRU,2025,5,2025-05-01,45,E2,3,80109,1780.2,303.1422222222222,3256.0,52920.933333333334,67332,2381442,5.8663617091208,1968.1382581492853
CNF -> GRU,2025,6,2025-06-01,64,E2,3,120533,1883.328125,308.2578125,3298.125,52449.71875,69424,3356782,6.115764225762671,2060.1412568620653
CNF -> GRU,2025,7,2025-07-01,82,A320,3,161363,1967.841463414634,308.6890243902439,3337.317073170732,54794.439024390245,68900,4493144,6.360151177848525,2122.0452336078934
CNF -> GRU,2025,8,2025-08-01,41,E2,3,76259,1859.9756097560976,300.290243902439,3248.7804878048782,51307.756097560974,68240,2103618,6.193694216566443,2066.890287441137
