Route,Recommendation,Months,TotalFlights,AvgPriorityScore,MaxPriorityScore,AvgPassengers,AvgTOW_kg,E2FuelAdvantage,AvgFuelPerNM,EstimatedFuelSavedKg
CAC -> VCP,Current seasonal upgauge appears effective,1,51,25.403951263760405,25.403951263760405,115.84313725490196,50955.313725490196,0.21088680222073009,4.673401816298132,516.8611339226738
POJ -> CNF,Maintain current aircraft assignment,15,191,4.041802710200821,11.72719963257964,49.87685185185185,20127.228680578683,,2.9137597739946606,514.4053589222879
REC -> PAV,Maintain current aircraft assignment,6,59,2.6326745519774737,8.011703440841641,39.05174825174825,19928.219444444443,,2.72199894064123,501.4882995076655
IZA -> CNF,Maintain current aircraft assignment,7,113,4.591459419130485,16.333333333333332,39.05174825174826,19787.561188811185,,3.069858140968296,455.21195327755566
CGR -> REC,Maintain current aircraft assignment,2,10,0.04987895383794191,0.09975790767588381,136.0,67513.3,,4.806290269656682,428.8530564759967
CNF -> IZA,Maintain current aircraft assignment,7,114,4.482112170507877,16.333333333333332,39.05174825174826,20207.82041708292,,2.940859919745595,406.77731055539937
JTC -> REC,Maintain current aircraft assignment,7,19,7.153305247554299,24.30861595314025,123.14285714285714,60936.485714285714,,4.4579047787933535,397.2485663062668
CNF -> VDC,Current seasonal downgauge appears effective,1,13,12.301808768154924,12.301808768154924,59.0,22129.384615384617,0.2050301461359154,2.871256929526716,379.3257230367341
THE -> CNF,Current seasonal downgauge appears effective,2,19,11.380399815445308,11.380399815445308,121.0909090909091,55482.65340909091,0.1896733302574218,4.477600337425002,360.111215891258
VCP -> MVD,Strong review for larger aircraft,1,12,868.4215619605588,868.4215619605588,113.0,54309.75,,4.67256107447441,356.0512373109025
VCP -> PDP,Maintain current aircraft assignment,4,14,31.208533508950396,62.48100830595425,74.0,53265.99107142857,0.2626888909886213,4.713528557925715,352.2278041921353
BPS -> REC,Maintain current aircraft assignment,3,3,1.277241173557605,3.8317235206728153,162.0,49972.0,,4.913766841916872,311.194482758621
SOD -> VCP,Maintain current aircraft assignment,5,8,37.50397638074572,84.23406171692346,88.17016599499524,39678.5,0.23723436194872444,6.936902753626271,298.08393604679884
REC -> JDO,Review smaller aircraft,4,45,36.00304104707352,40.34784161341215,45.208333333333336,43455.84526515152,0.22968744057263268,6.024888609960316,297.0202692313108
JDO -> REC,Review larger aircraft,3,80,33.05230341308488,35.50844376396207,61.0,20978.643880070547,0.2544531045828213,2.8487314777300567,292.54889689981894
REC -> CGR,Maintain current aircraft assignment,2,12,5.86309160115409,11.72618320230818,161.0,70714.875,,5.332198815652248,268.47569016717307
REC -> FLN,Review larger aircraft,1,5,12.872801903581385,12.872801903581385,135.0,57202.8,,4.551446810661542,266.910291706197
CNF -> JJD,Current seasonal downgauge appears effective,2,3,9.846391591278099,9.846391591278099,122.0,57003.25,0.16410652652130164,4.235909401864712,243.88581881823086
PAV -> REC,Maintain current aircraft assignment,6,60,2.538350977238428,7.856953705249379,39.05174825174825,19740.920105820103,,2.8256931553098528,225.03665894104648
REC -> CWB,Maintain current aircraft assignment,6,27,33.253860122766135,104.04381563190884,134.48484848484847,59083.340404040406,,4.561527254492975,224.86327336164558
REC -> PMW,Maintain current aircraft assignment,2,13,7.192156886390852,14.384313772781704,152.0,66288.08333333334,,5.245480828967745,216.0290373389825
CAU -> REC,Maintain current aircraft assignment,7,29,15.602415708058444,58.333333333333336,10.0,17560.916666666668,,3.2551992175688236,214.4312373732731
NVT -> REC,Maintain current aircraft assignment,2,12,6.76909965138602,12.48016441718101,106.5,58974.25,,4.116221450649128,191.66372129018666
PLU -> CNF,High-priority E1 -> E2 candidate,1,3,44.76883919327894,44.76883919327894,0.0,29250.0,0.2600515342441508,6.907497745210691,134.39372666249272
UNA -> VCP,Maintain current aircraft assignment,4,11,2.078721278460546,6.987735518009934,84.85833333333333,55729.958333333336,,5.473308302000988,122.96978514539138
CLV -> VCP,Maintain current aircraft assignment,2,3,0.2699553162231748,0.5399106324463496,9.0,39419.0,,5.934112384681319,115.43198300944688
CNF -> CNF,Review smaller aircraft,3,3,27.29123057885221,37.251391108248356,0.3333333333333333,52801.333333333336,0.2866913645510097,6.513122870162108,101.37430990062573
VCP -> SOD,Maintain current aircraft assignment,3,4,12.76848701132758,38.30546103398274,94.30076542098153,40442.0,,6.3052135094079915,95.71218702095031
