Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
PMW -> VCP,Review smaller aircraft,2,30,-0.2857142857142857,0.08191755640051421,1.2373543485672445
CNF -> UNA,Maintain current assignment,12,34,-0.05555555555555555,0.09087027926546566,1.215526507543255
PET -> VCP,Maintain current assignment,8,37,-0.2884615384615385,-0.005259454634293681,1.2103493998433579
CNF -> CLV,Maintain current assignment,15,94,-0.10476190476190476,0.0058894488963556774,1.1702191671039535
VCP -> PNZ,Review smaller aircraft,1,10,-0.4117647058823529,0.10891016506384811,1.1593179279952506
CMG -> VCP,Strong review for smaller aircraft,1,1,-0.9230769230769231,0.056640691863844364,1.1447290346898829
TJL -> VCP,Current seasonal downgauge appears justified,1,4,-0.7894736842105263,-0.07698716002418941,1.1164833401998728
VCP -> CAC,Strong review for smaller aircraft,1,10,-0.6428571428571429,0.0608130773755189,1.1023695211207174
CGH -> CNF,Current seasonal downgauge appears justified,1,106,-0.3116883116883117,-0.08913530460740975,1.094215346378362
NSR -> REC,Strong review for smaller aircraft,2,3,-0.7,0.07886078682943559,1.0689883987884883
GEL -> VCP,Current seasonal downgauge appears justified,1,4,-0.6,-0.07577187162730332,1.023694469181888
REC -> NSR,Maintain current assignment,10,67,-0.1625,-0.008666750561304035,1.003102861201028
CNF -> AJU,Review smaller aircraft,1,9,-0.4375,0.052956204558167755,0.9630635225708242
REC -> FOR,Strong review for smaller aircraft,1,40,-0.6261682242990654,0.1387632491930014,0.9432217734521888
UNA -> CNF,Review smaller aircraft,1,2,-0.3333333333333333,0.3486371436849495,0.9348851741708741
PGZ -> VCP,Maintain current assignment,8,80,-0.09090909090909091,0.0013939427883494977,0.9183274898418297
GRU -> VCP,Review smaller aircraft,2,4,-0.3333333333333333,0.16751055761441008,0.9044408631397739
VCP -> TEC,Maintain current assignment,2,4,0.0,0.0,0.8948267328823756
VCP -> PGZ,Maintain current assignment,8,79,-0.10227272727272727,-0.0027018556079543054,0.8880959295498121
TEC -> VCP,Maintain current assignment,2,4,0.0,0.0,0.860190419838784
REC -> IGU,Strong review for smaller aircraft,1,1,-0.6666666666666666,0.05619718810814664,0.8376566399599614
VCP -> MDZ,Maintain current assignment,2,7,-0.5,-0.0040481297638709,0.8065440800235641
IGU -> REC,Review smaller aircraft,1,3,-0.4,0.053050621846068194,0.8052860489941395
VCP -> BRC,Maintain current assignment,3,9,-0.625,0.004930950880924909,0.8034634514828117
THE -> REC,Strong review for smaller aircraft,1,16,-0.5555555555555556,0.09622839326351489,0.776968127919361
PDP -> VCP,Maintain current assignment,3,10,-0.16666666666666666,-0.02525858436094144,0.7613099198728926
REC -> PPB,Maintain current assignment,6,20,-0.16666666666666666,-0.0006900514588560145,0.7310494294562994
GPB -> VCP,Current seasonal downgauge appears justified,1,3,-0.7857142857142857,-0.05711382688067746,0.7068479683557727
CGH -> CNF,Review smaller aircraft,1,111,-0.2792207792207792,0.05571971415769025,0.6867392891840564
CNF -> BPS,Review smaller aircraft,1,42,-0.3,0.0621016132529442,0.6418138041698797
VCP -> MVD,Maintain current assignment,4,11,-0.08333333333333333,0.020460711528003467,0.6290664934415204
CWB -> VCP,Review smaller aircraft,1,116,-0.2839506172839506,0.02502218753857105,0.6167094982121245
UNA -> CNF,Maintain current assignment,14,39,-0.07142857142857142,0.037961303222396624,0.6097784971442756
NSR -> REC,Maintain current assignment,5,19,-0.24000000000000005,0.005237568967196403,0.607791807918878
REC -> THE,Review smaller aircraft,5,105,-0.34375,0.0908433718113623,0.5585341078665726
IGU -> CNF,Review smaller aircraft,1,3,-0.25,0.08347748463014652,0.5479775884431265
RVD -> VCP,Current seasonal downgauge appears justified,1,5,-0.8,-0.06315683402491123,0.544948586276027
VCP -> XAP,Current seasonal downgauge appears justified,3,58,-0.44761904761904764,-0.08114828318610615,0.5370399905774189
CNF -> PMW,Maintain current assignment,10,99,-0.175,0.032031978051247814,0.4655590991291555
CNF -> SMT,Maintain current assignment,6,54,-0.1818181818181818,0.019025002295732816,0.46358832896118934
AJU -> CNF,Review smaller aircraft,2,33,-0.3125,0.054254042022412366,0.42901808339187586
JPR -> VCP,Strong review for smaller aircraft,1,3,-0.5714285714285714,0.05904182585649609,0.4179661736364812
THE -> REC,Review smaller aircraft,5,118,-0.34444444444444444,0.08064700928569593,0.40901744090262204
CNF -> AJU,Maintain current assignment,7,82,-0.26785714285714285,-0.026824871882062267,0.40359537230505765
CNF -> IPN,Review smaller aircraft,1,67,-0.25555555555555554,0.06461099597740252,0.35305692324867866
CNF -> MVD,Maintain current assignment,2,2,0.0,0.0,0.3281171259036557
VCP -> PET,Maintain current assignment,8,39,-0.30357142857142855,0.0023846706913780748,0.27962062663950454
BVB -> VCP,Maintain current assignment,9,23,-0.14814814814814814,-0.007232421361036119,0.26747669823605574
NVT -> CNF,Strong review for smaller aircraft,1,1,-0.7777777777777778,0.05767856371982368,0.20690250359825046
REC -> CAU,Maintain current assignment,4,11,-0.08333333333333333,0.005064875382554516,0.16847828016701516
REC -> FLN,Maintain current assignment,3,6,-0.5,-0.005595617852667336,0.1241427755021456
MOC -> VCP,Maintain current assignment,3,3,0.0,0.006135592531642998,0.12167396964501141
GIG -> VCP,Review smaller aircraft,3,141,-0.2878787878787879,0.05856758378428547,0.11841969709250322
CGR -> REC,Maintain current assignment,2,10,0.0,0.0,0.09975790767588381
