Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTowRegime,TroughMonthTowRegime,PeakMonthRegimeRank,TroughMonthRegimeRank,MaxRegimeRankShift,MinRegimeRankShift,MaxAvgTOW_kg,MinAvgTOW_kg,DeltaAvgTOW_kg,VolatilityScore
CNF -> RAO,18,657,36.5,14.637281168304447,0.4010214018713547,2025-09-01,54,2024-03-01,1,53,54.0,0.28767123287671237,20900.0,21037.0,ATR,ATR,0,0,1.0,0.0,39198.5,20900.0,18298.5,18.945103192519493
REC -> CNF,23,3026,131.56521739130434,27.24737895165973,0.20710169064381156,2025-03-01,177,2025-11-01,52,125,3.4038461538461537,0.16236098738469495,64706.09039548023,69856.21153846153,A320,A320,3,3,0.0,0.0,69856.21153846153,61938.596153846156,7917.615384615376,18.559228224112285
SJP -> CNF,17,653,38.411764705882355,15.05698518190697,0.3919888944753729,2025-07-01,54,2024-04-01,1,53,54.0,0.2967300243221332,19849.666666666668,17248.0,ATR,Nearest: ATR,0,0,0.0,0.0,23246.75,17248.0,5998.75,18.50098754990678
MAO -> VCP,23,1863,81.0,20.338440793557492,0.25109186164885794,2024-05-01,125,2025-11-01,30,95,4.166666666666667,0.18894256575416,61931.136,72394.03333333334,A320,Nearest: A320,3,3,1.0,-1.0,74512.16176470589,59634.64035087719,14877.521413828697,18.42965046263226
CNF -> MCZ,23,896,38.95652173913044,14.232474381924463,0.36534253435743597,2025-01-01,69,2024-02-01,14,55,4.928571428571429,0.3205551242236025,63204.47826086957,59902.0,A320,Nearest: A320,3,3,0.0,-1.0,65113.454545454544,54212.09090909091,10901.363636363632,18.421720606756804
CNF -> REC,23,2985,129.7826086956522,27.462158187679677,0.21160121886654357,2025-03-01,168,2025-11-01,53,115,3.169811320754717,0.17274779695579348,62821.39880952381,64948.67924528302,A320,A320,3,3,0.0,0.0,65695.15178571429,62585.16071428572,3109.9910714285725,18.15719701813742
POA -> CNF,19,658,34.63157894736842,13.769571817352963,0.3976016178263014,2024-11-01,53,2024-05-01,4,49,13.25,0.33258678611422177,66577.39622641509,58194.25,A320,Nearest: E2,3,2,0.0,-1.0,68450.1081081081,58194.25,10255.858108108107,18.06505524727012
CNF -> VIX,23,1752,76.17391304347827,20.15732076294527,0.26462236161400754,2025-09-01,121,2024-01-01,38,83,3.1842105263157894,0.21396664681357952,43967.371900826445,43396.71052631579,E1,E1,1,1,0.0,0.0,47093.51388888889,42680.09459459459,4413.419294294297,18.00665004170415
MGF -> VCP,23,1534,66.69565217391305,18.209970471548523,0.27303084800887617,2025-09-01,98,2025-11-01,19,79,5.157894736842105,0.21897851595714532,24433.01020408163,36275.36842105263,Nearest: ATR,Nearest: E1,0,1,1.0,0.0,43318.40540540541,21440.87341772152,21877.531987683888,17.803340462041596
CNF -> GYN,23,1063,46.21739130434783,14.258350784987389,0.3085061787908842,2024-10-01,80,2025-11-01,15,65,5.333333333333333,0.2285574052108471,46935.575,51067.0,Nearest: E1,E2,1,2,0.0,-1.0,54484.13953488372,46879.770491803276,7604.369043080442,17.335655964960438
