Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,MaxTOW_kg,MinTOW_kg,TotalTOW_kg,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgFuelPerNM,AvgFuelPerHour,FuelPerFlightKg,TowRegime,TowRegimeRank,RegimeDistanceKg,MedianMonthlyFlights,AvgMonthlyFlights,StdMonthlyFlights,MedianRouteAvgTOW_kg,MedianTowRegimeRank,MedianRouteFuelPerNM,FlightsAboveMedian,FlightsPctVsMedian,AvgTOWAboveMedian_kg,AvgTOWPctVsMedian,RegimeRankShiftVsMedian,FuelPerNMPctVsRouteMedian
REC -> GYN,2024,4,2024-04-01,45,A320,1,66683.17777777778,66670.0,71590,59359,3000743,239235,5316.333333333333,1013.3133333333333,8773.333333333334,5.242905336034592,2181.586414618674,5316.333333333333,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-11.0,-0.19642857142857142,-1509.12579365079,-0.022130441627771738,0.0,-0.024296649132537294
REC -> GYN,2024,5,2024-05-01,49,A320,1,66262.61224489796,67288.0,71458,55705,3246868,254144,5186.6122448979595,993.1673469387755,8767.34693877551,5.226018367127977,2128.8320023273195,5186.6122448979595,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-7.0,-0.125,-1929.6913265306066,-0.02829778766029419,0.0,-0.027439309755252397
REC -> GYN,2024,6,2024-06-01,54,A320,1,66719.81481481482,67947.5,71781,55474,3602870,285081,5279.277777777777,998.9444444444445,8835.555555555555,5.296996518593766,2152.799361929501,5279.277777777777,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-2.0,-0.03571428571428571,-1472.4887566137477,-0.021593181040898225,0.0,-0.014230293802290671
REC -> GYN,2024,7,2024-07-01,56,A320,1,68331.625,68743.5,72535,57623,3826571,302199,5396.410714285715,1005.8821428571429,8803.92857142857,5.364413026903032,2207.916549050968,5396.410714285715,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,0.0,0.0,139.3214285714348,0.002043066757900347,0.0,-0.0016840987357809893
REC -> GYN,2024,8,2024-08-01,48,A320,3,68349.8125,69597.0,76747,49058,3280791,257826,5371.375,1007.0958333333333,8698.75,5.3334736534644565,2222.987185838067,5371.375,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-8.0,-0.14285714285714285,157.5089285714348,0.002309775741868741,0.0,-0.007441908271321771
REC -> GYN,2024,9,2024-09-01,56,A320,2,68192.30357142857,70204.0,72275,52681,3818769,302111,5394.839285714285,1003.8553571428572,8858.57142857143,5.3734624682525824,2194.1465727987047,5394.839285714285,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,0.0,0.0,0.0,0.0,0.0,0.0
REC -> GYN,2024,10,2024-10-01,55,A320,2,67886.6909090909,70007.0,72095,55175,3733768,296128,5384.145454545454,1010.7854545454545,8824.363636363636,5.325836452230747,2198.246990189859,5384.145454545454,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-1.0,-0.017857142857142856,-305.6126623376622,-0.004481629836973403,0.0,-0.008863189480380474
REC -> GYN,2024,11,2024-11-01,50,A320,1,68778.64,70032.5,72390,62390,3438932,270284,5405.68,999.9839999999999,8779.2,5.408434913727146,2217.5207384792575,5405.68,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-6.0,-0.10714285714285714,586.3364285714342,0.008598278659955686,0.0,0.0065083632166759164
REC -> GYN,2024,12,2024-12-01,60,A320,2,67708.86666666667,67853.5,74839,56370,4062532,319913,5331.883333333333,1004.1166666666667,8788.0,5.307640075792451,2184.8640008099837,5331.883333333333,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,4.0,0.07142857142857142,-483.4369047618966,-0.0070893177007214135,0.0,-0.012249530512034416
REC -> GYN,2025,1,2025-01-01,74,A320,1,70562.0945945946,70894.5,72676,65557,5221595,406575,5494.256756756757,1003.9932432432432,8717.027027027027,5.47222687810815,2269.1274055523504,5494.256756756757,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,18.0,0.32142857142857145,2369.7910231660353,0.03475159070823556,0.0,0.01838003157909558
REC -> GYN,2025,2,2025-02-01,56,A320,2,69865.16071428571,70892.0,73070,55873,3912449,315370,5631.607142857143,1007.1892857142857,8886.42857142857,5.590507303030944,2282.202156716978,5631.607142857143,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,0.0,0.0,1672.857142857145,0.024531465506292767,0.0,0.04039198860338244
REC -> GYN,2025,3,2025-03-01,78,A320,2,67968.34615384616,69235.0,72436,57153,5301531,416413,5338.628205128205,1004.1871794871796,8744.615384615385,5.315857079901113,2197.8096275790404,5338.628205128205,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,22.0,0.39285714285714285,-223.9574175824091,-0.0032842037275925594,0.0,-0.010720348135269045
REC -> GYN,2025,4,2025-04-01,63,A320,1,67386.26984126984,68294.0,71866,60393,4245335,335264,5321.650793650793,1007.1555555555556,8738.095238095239,5.282983893566222,2192.9569816607623,5321.650793650793,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,7.0,0.125,-806.0337301587278,-0.011820010293602143,0.0,-0.016838039759452132
