Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
REC -> AJU,23,2,ATR,ATR,20760.755102040817,30016.46835443038,9255.713252389563
CGR -> VCP,23,2,E2,E2,49683.51612903226,58848.55421686747,9165.038087835215
MCZ -> VCP,23,2,A320,A320,62290.22535211268,71388.58620689655,9098.360854783874
VCP -> BYO,19,3,E2,E2,44891.666666666664,53980.0,9088.333333333336
SSA -> VCP,23,2,A320,A320,57356.61538461538,66060.44943820225,8703.83405358687
ASU -> REC,5,2,Outside Normal Regimes,E2,50776.0,59473.5,8697.5
SLZ -> REC,23,2,A320,A320,56647.46153846154,65342.90909090909,8695.44755244755
REC -> VCP,23,2,A321,A321,71758.6524822695,80431.25,8672.597517730494
CGH -> CNF,23,3,E1,Outside Normal Regimes,43348.07547169811,51994.7868852459,8646.71141354779
CLV -> VCP,3,2,E1,Outside Normal Regimes,35963.0,44483.142857142855,8520.142857142855
VCP -> REC,23,3,Outside Normal Regimes,A321,70074.88050314465,78501.62727272727,8426.74676958262
VIX -> VCP,23,2,Outside Normal Regimes,Outside Normal Regimes,56031.27868852459,64227.421875,8196.143186475412
BYO -> VCP,23,3,E1,E2,42630.545454545456,50810.4,8179.854545454546
BEL -> REC,23,2,A320,A320,58435.96666666667,66606.69491525424,8170.728248587569
UDI -> REC,23,2,A320,A320,59001.625,67160.0,8158.375
CGB -> REC,2,2,E1,E2,44445.0,52599.0,8154.0
SDU -> CNF,23,3,E1,E2,41588.967741935485,49740.53658536585,8151.5688434303665
CNF -> NVT,7,2,Outside Normal Regimes,E2,47314.0,55455.0,8141.0
REC -> ASU,5,2,E2,Outside Normal Regimes,52686.0,60804.0,8118.0
CNF -> SLZ,23,2,A320,A320,63479.1875,71567.47619047618,8088.288690476184
VCP -> BSB,23,2,Outside Normal Regimes,Outside Normal Regimes,48611.59210526316,56692.875,8081.28289473684
CNF -> SMT,9,2,E2,E1,45746.0,53737.545454545456,7991.545454545456
THE -> VCP,23,2,A320,A320,60416.6,68402.47619047618,7985.876190476185
NAT -> VCP,23,3,A320,A320,65205.0,73167.45454545454,7962.454545454544
VCP -> NVT,23,3,E2,E1,45664.8969072165,53549.6724137931,7884.775506576603
NVT -> VCP,23,3,E2,E1,45070.83486238532,52955.0,7884.1651376146765
VCP -> FOR,23,3,Outside Normal Regimes,A320,69235.45833333333,77087.5,7852.0416666666715
VCP -> SSA,23,2,A320,A320,59229.12871287129,66879.94186046511,7650.813147593828
CNF -> GYN,23,2,E2,E2,46879.770491803276,54484.13953488372,7604.369043080442
CNF -> SDU,23,3,E1,E2,43427.08571428571,51031.25,7604.164285714287
FLN -> CNF,23,2,E2,Outside Normal Regimes,50523.8125,58106.07142857143,7582.2589285714275
VCP -> POA,19,2,A320,A320,57713.97794117647,65230.58208955224,7516.604148375773
REC -> UDI,23,2,Outside Normal Regimes,A320,64517.5,72025.61538461539,7508.11538461539
VCP -> MVD,6,2,Outside Normal Regimes,E2,50764.0,58206.0,7442.0
VCP -> CWB,23,3,E1,Outside Normal Regimes,43688.33076923077,51095.03125,7406.700480769228
NVT -> REC,2,2,A320,Outside Normal Regimes,55275.75,62672.75,7397.0
CNF -> GIG,23,3,E1,E1,43459.78333333333,50809.796116504855,7350.012783171522
SMT -> CNF,9,3,E2,E1,46053.0,53064.454545454544,7011.454545454544
BVB -> VCP,15,3,A320,Outside Normal Regimes,66500.33333333333,73510.5,7010.1666666666715
RAO -> REC,23,2,A320,A320,59787.0,66768.28571428571,6981.28571428571
PET -> VCP,16,2,Outside Normal Regimes,E1,39103.0,46081.4,6978.4000000000015
GRU -> REC,23,3,A321,A321,70748.28025477707,77724.81410256411,6976.533847787039
CNF -> FOR,23,2,A320,A320,64031.95652173913,70972.93939393939,6940.982872200264
GIG -> CNF,23,3,E1,E1,42376.529411764706,49267.26829268293,6890.738880918223
CUR -> CNF,21,2,A321,A321,71398.0,78109.86666666667,6711.866666666669
STM -> CNF,4,2,A320,Outside Normal Regimes,55616.333333333336,62317.4,6701.066666666666
VCP -> PET,16,2,E1,Outside Normal Regimes,41005.5,47642.166666666664,6636.666666666664
CNF -> VCP,23,2,E2,E2,50934.72,57533.17021276596,6598.450212765958
REC -> MCZ,23,2,ATR,ATR,20122.652777777777,26711.73076923077,6589.077991452992
BEL -> VCP,23,3,Outside Normal Regimes,A320,68783.5375,75348.16666666667,6564.629166666666
POA -> VCP,19,2,A320,A320,60088.27450980392,66512.41428571429,6424.139775910364
CWB -> VCP,23,3,E1,E2,45757.08552631579,52173.594405594406,6416.508879278619
RBR -> CNF,14,2,A320,Outside Normal Regimes,65399.42857142857,71773.65384615384,6374.225274725271
VCP -> NAT,23,2,A320,Outside Normal Regimes,65344.75675675676,71683.4,6338.643243243234
VCP -> CNF,23,2,Outside Normal Regimes,E2,49800.8064516129,56093.4,6292.5935483871
CNF -> CWB,23,2,E2,E2,49348.692307692305,55556.72222222222,6208.029914529914
JPR -> VCP,9,2,E2,Outside Normal Regimes,50351.666666666664,56409.333333333336,6057.6666666666715
CNF -> CUR,21,2,A321,A321,71843.85714285714,77885.16666666667,6041.309523809527
SJP -> CNF,17,2,Outside Normal Regimes,Outside Normal Regimes,17248.0,23246.75,5998.75
CGB -> VCP,23,2,Outside Normal Regimes,Outside Normal Regimes,57516.82142857143,63489.955555555556,5973.134126984129
GYN -> CNF,23,2,E2,E2,46440.89887640449,52409.21052631579,5968.311649911295
GYN -> VCP,23,2,A320,Outside Normal Regimes,57860.77108433735,63707.96703296703,5847.195948629684
MCZ -> REC,23,2,ATR,ATR,19956.62,25778.603773584906,5821.983773584907
REC -> MAO,23,2,Outside Normal Regimes,A321,81884.95238095238,87485.61904761905,5600.6666666666715
BSB -> VCP,23,2,E2,E2,48596.93023255814,54170.825,5573.89476744186
REC -> JPA,23,2,ATR,ATR,19450.454545454544,24948.528301886792,5498.073756432248
JPA -> REC,23,2,ATR,ATR,19334.06,24775.38888888889,5441.328888888889
VCP -> SLZ,23,2,A320,A320,65654.77272727272,71070.90476190476,5416.132034632043
SSA -> CNF,23,2,Outside Normal Regimes,Outside Normal Regimes,55051.642105263156,60438.51219512195,5386.870089858792
ASU -> VCP,8,2,E2,E2,48703.0,54021.75,5318.75
REC -> RAO,23,2,Outside Normal Regimes,Outside Normal Regimes,66862.4,72074.75,5212.350000000006
PDP -> VCP,5,2,E2,Outside Normal Regimes,50520.0,55727.5,5207.5
VCP -> CLV,2,2,Outside Normal Regimes,E1,41540.0,46741.857142857145,5201.857142857145
VCP -> GYN,23,2,A320,A320,58378.282608695656,63568.05479452055,5189.7721858248915
REC -> NVT,3,2,A320,A320,60385.333333333336,65561.0,5175.666666666664
REC -> NAT,23,2,ATR,ATR,20970.643410852714,26124.850746268658,5154.207335415944
REC -> FLN,6,2,Outside Normal Regimes,Outside Normal Regimes,56969.5,61993.4,5023.9000000000015
VCP -> THE,23,2,A320,A320,65942.90476190476,70963.66666666667,5020.761904761908
NAT -> REC,23,2,ATR,Outside Normal Regimes,20431.614457831325,25390.0,4958.385542168675
VCP -> AFL,9,2,Outside Normal Regimes,Outside Normal Regimes,52066.142857142855,56939.57142857143,4873.4285714285725
